model,variant,slice,RMSE,MAE,MBE,nRMSE,R2,skill_vs_smart_persist
SmartPersistence,-,all-sky,56.5479,28.2987,-0.6508,0.1343,0.9516,0.0000
SmartPersistence,-,high-dust,68.2204,37.4493,1.4601,0.1761,0.9186,0.0000
PlainPersistence,-,all-sky,146.6696,128.2607,-5.1708,0.3484,0.6741,-1.5937
PlainPersistence,-,high-dust,139.4715,118.7792,-22.0330,0.3600,0.6598,-1.0444
LightGBM,baseline,all-sky,42.3030,21.3488,-3.6056,0.1005,0.9729,0.2519
LightGBM,baseline,high-dust,59.5814,33.9199,6.9452,0.1538,0.9379,0.1266
XGBoost,baseline,all-sky,42.1864,22.7348,-5.5329,0.1002,0.9730,0.2540
XGBoost,baseline,high-dust,59.8495,35.2902,4.0837,0.1545,0.9374,0.1227
LightGBM,dust_aware,all-sky,44.1488,23.6202,-6.0967,0.1049,0.9705,0.2193
LightGBM,dust_aware,high-dust,61.0212,37.3355,-1.3381,0.1575,0.9349,0.1055
XGBoost,dust_aware,all-sky,41.5018,20.3237,-1.5624,0.0986,0.9739,0.2661
XGBoost,dust_aware,high-dust,59.9208,33.8205,7.0790,0.1547,0.9372,0.1217
LightGBM,dust_forecast,all-sky,42.3592,20.1727,-2.3403,0.1006,0.9728,0.2509
LightGBM,dust_forecast,high-dust,60.5087,33.8706,3.8362,0.1562,0.9360,0.1130
XGBoost,dust_forecast,all-sky,41.8007,20.9453,-4.1787,0.0993,0.9735,0.2608
XGBoost,dust_forecast,high-dust,60.1494,35.3984,-0.0382,0.1553,0.9367,0.1183
LightGBM,total_aod,all-sky,43.3432,22.7679,-4.9678,0.1030,0.9715,0.2335
LightGBM,total_aod,high-dust,58.8813,36.5526,-0.0928,0.1520,0.9394,0.1369
XGBoost,total_aod,all-sky,41.0891,17.4811,2.5968,0.0976,0.9744,0.2734
XGBoost,total_aod,high-dust,60.3091,32.5871,11.0048,0.1557,0.9364,0.1160
