month,n_daytime,dust_mean,dust_max,n_highdust,LightGBM_baseline_RMSE,LightGBM_dust_RMSE,LightGBM_improve_pct,XGBoost_baseline_RMSE,XGBoost_dust_RMSE,XGBoost_improve_pct
1,1284,0.1207,0.4782,22,56.2152,58.9256,-4.8215,53.1600,53.3614,-0.3788
2,1261,0.1082,0.5186,11,26.2960,25.3668,3.5334,24.0924,23.3354,3.1420
3,1485,0.2516,0.6819,176,37.6672,36.7175,2.5213,36.4418,37.2935,-2.3372
4,1523,0.2931,0.6326,220,67.7671,67.0798,1.0143,66.6865,66.9787,-0.4382
5,1650,0.4112,1.1432,661,33.5689,40.0592,-19.3343,33.2447,42.1945,-26.9211
6,1636,0.2111,0.6030,46,16.8474,12.5190,25.6920,15.8965,14.1982,10.6838
7,1669,0.4000,0.8979,627,72.7805,72.8481,-0.0929,76.1364,75.7077,0.5630
8,1607,0.2448,0.5926,170,43.9805,44.2073,-0.5158,44.6784,44.0283,1.4551
9,1468,0.1272,0.3596,0,11.3289,11.3628,-0.2992,11.3196,11.4819,-1.4333
10,1428,0.0789,0.1441,0,12.4266,12.4168,0.0790,12.4147,12.2320,1.4713
11,1302,0.0933,0.2938,0,32.5209,34.7281,-6.7870,32.6553,33.0903,-1.3320
12,1305,0.0634,0.1780,0,61.4789,62.0971,-1.0056,61.0894,62.4913,-2.2949
